0,1,2,3,4,brand,model,trim,body_type,fuel_type,transmission_type,engine_capacity_cc,horsepower,exterior_color,interior_color,warranty,city,seller_type,price
-9.783927968458297,0.3976591920556101,4.530723415948902,-2.0868783464642036,4.8006804593812635,Toyota,Yaris,SE,Hatchback,Petrol,Automatic Transmission,1000 - 1499 cc,0 - 99 HP,Silver,Beige,Does not apply,Dubai,Dealer,46900
-8.598365409943396,0.3514128331418511,,-2.0806763248521984,13.263081407826435,Mercedes-Benz,G-Class,G 63 AMG,SUV,Petrol,Automatic Transmission,Unknown,700 - 799 HP,Blue,White,No,Dubai,Dealer,1650
-9.480316530723464,0.8815207218159121,10.489248314251421,-2.0286796968138856,2.07139575563858,Mazda,CX-9,GTX,SUV,Petrol,Automatic Transmission,3000 - 3499 cc,300 - 399 HP,Grey,Beige,No,Dubai,Owner,30000
-9.214461623262865,0.46131479948312665,19.825948587780683,-2.0424647840379415,-0.10454943503343905,Mercedes-Benz,E-Class,E 350,Sedan,Petrol,Automatic Transmission,3500 - 3999 cc,200 - 299 HP,Black,Beige,No,Dubai,Dealer,43000
,0.18465401929383654,4.773011041118642,-2.0778054256774836,-23.304637125093066,Ferrari,488 Pista,Other,Sports Car,Petrol,Automatic Transmission,4000+ cc,700 - 799 HP,Green,Black,Yes,Dubai,Dealer,1199
-9.670236792222923,0.818590428358624,-25.56958291706437,-2.0968421852037222,1.189415679743794,Mercedes-Benz,V-Class,V 250,Van,Petrol,Automatic Transmission,2000 - 2499 cc,200 - 299 HP,Black,Tan,Yes,Dubai,Dealer,599000
-9.290937336547374,0.37735568069680864,-2.211134727912113,-2.0938415495810436,-8.86714093405548,Lexus,IS-F,Platinum,Sedan,Petrol,Automatic Transmission,3500 - 3999 cc,300 - 399 HP,Black,Unknown,Yes,Sharjah,Dealer,189000
-8.336395752404231,0.2328486268102274,-2.2743591350992096,-2.093556600685599,-27.442072816294328,Lamborghini,Huracan,Other,Coupe,Petrol,Automatic Transmission,3500 - 3999 cc,600 - 699 HP,Yellow,Black,Yes,Dubai,Dealer,1325
-9.167267074991258,0.46890760531239867,-1.1485062622778601,-2.058522358193408,-5.660721272009915,Dodge,Charger,SXT,Sedan,Petrol,Automatic Transmission,3000 - 3499 cc,200 - 299 HP,Grey,Black,Yes,Dubai,Owner,83000
-9.922441641683548,0.43830482163884565,-20.578328294251367,-2.1058720053828024,,Mercedes-Benz,C-Class,C200,Sedan,Petrol,Automatic Transmission,1500 - 1999 cc,200 - 299 HP,Grey,Unknown,Yes,Dubai,Dealer,243000
-10.399448627255579,0.27120353892637156,45.657014231356996,-2.013164590923989,-27.717892594748292,Audi,TT,Standard,Coupe,Petrol,Automatic Transmission,2000 - 2499 cc,200 - 299 HP,Black,Unknown,Does not apply,Dubai,Owner,18999
-9.605898051294615,0.14318188174884033,-6.2118018668165496,-2.0863317660595344,-32.22502627351902,Mercedes-Benz,SL-Class,Other,Coupe,Petrol,Automatic Transmission,,300 - 399 HP,Red,Black,Does not apply,Dubai,Dealer,425000
-7.989916276113709,0.11763967023911844,5.469579832328426,-2.077073461800893,1.2731489174183306,Rolls-Royce,Cullinan,Black Badge,SUV,Petrol,Automatic Transmission,,500 - 599 HP,Black,Tan,Yes,Dubai,Dealer,1750
-8.713651330150384,0.2140049924033305,-2.7034488235526544,-2.0890967034112826,-25.556063433513323,GMC,Sierra,AT4,Other,Petrol,Automatic Transmission,Unknown,Unknown,Black,Other Color,No,Sharjah,Owner,145000
-9.330610050621946,0.39844570876334595,-10.79536060631317,-2.072235546538427,-3.3439753256203604,Ford,Pickup,Other,SUV,Petrol,Automatic Transmission,2500 - 2999 cc,200 - 299 HP,White,Black,Yes,Ajman,Dealer,79500
-9.611772375329533,0.45300548308848315,-11.099077138888209,-2.106728108671416,-7.0414681682803435,Mercedes-Benz,E-Class,E 300,Sedan,Petrol,Automatic Transmission,1500 - 1999 cc,200 - 299 HP,Green,Tan,Yes,Dubai,Dealer,380000
-8.066150592252697,0.3345827900008359,1.1398200271373975,-2.0915197333181994,6.190627641706023,Rolls-Royce,Cullinan,Black Badge,SUV,Petrol,Automatic Transmission,,500 - 599 HP,Black,Unknown,Yes,Dubai,Dealer,2350
-8.755272338460095,0.39548843947297596,5.272788627450319,-2.053445303120944,7.379661778930442,Land Rover,Range Rover,Autobiography,SUV,Petrol,Automatic Transmission,4000+ cc,300 - 399 HP,Brown,Brown,No,Dubai,Owner,110000
-9.354566203708242,0.5117200867855793,2.0055124153635173,-2.096107694520666,4.519108550718721,Land Rover,Range Rover Sport,HST,SUV,Petrol,Automatic Transmission,3000 - 3499 cc,300 - 399 HP,White,Unknown,No,Dubai,Dealer,342000
